ticket_id,created_date,channel,category,customer_segment,region,agent,resolution_hours,status,csat_score
100028,2026-01-02,WhatsApp,Flight Delay,Leisure,Jakarta,A14,14.4,Open,
100029,2026-01-02,Email,Booking Change,Business,Surabaya,A08,1.2,Resolved,5
100030,2026-01-02,Email,Booking Change,First-time,Bali,A05,6.6,Resolved,1
100031,2026-01-02,Web,Loyalty/Account,First-time,Surabaya,A05,4.1,Resolved,5
100032,2026-01-02,Email,Refund Request,Leisure,Makassar,A09,34.1,Resolved,4
100033,2026-01-02,App,Booking Change,Leisure,Surabaya,A10,10.3,Resolved,1
100034,2026-01-02,App,Baggage Issue,Leisure,Makassar,A07,23.9,Resolved,3
100035,2026-01-02,Call Center,Refund Request,Corporate,Surabaya,A04,29.4,Resolved,5
100036,2026-01-02,Email,Loyalty/Account,Leisure,Jakarta,A10,4.8,Resolved,1
100037,2026-01-02,Call Center,Booking Change,Business,Makassar,A03,10.5,Resolved,4
100038,2026-01-02,WhatsApp,Booking Change,Corporate,Makassar,A01,4.0,Resolved,5
100039,2026-01-02,Call Center,Loyalty/Account,Leisure,Surabaya,A02,6.0,Resolved,5
100040,2026-01-02,Call Center,Booking Change,Corporate,Surabaya,A09,3.5,Resolved,3
100041,2026-01-02,Call Center,Complaint,Leisure,Medan,A01,40.5,Resolved,4
100042,2026-01-02,App,Cancellation,First-time,Makassar,A02,10.2,Resolved,1
100043,2026-01-02,WhatsApp,Loyalty/Account,Leisure,Bali,A09,4.5,Resolved,1
100044,2026-01-02,Web,Complaint,Leisure,Bali,A11,28.0,Resolved,5
100045,2026-01-02,Web,Complaint,First-time,Makassar,A15,41.4,Resolved,1
100046,2026-01-02,Call Center,Loyalty/Account,Leisure,Surabaya,A13,2.6,Resolved,3
100047,2026-01-02,Web,Complaint,Business,Bali,A13,21.2,Open,
100048,2026-01-02,Call Center,Flight Delay,Business,Medan,A05,7.5,Resolved,3
100049,2026-01-02,Call Center,Refund Request,Business,Medan,A05,50.6,Resolved,2
100050,2026-01-02,App,Refund Request,Corporate,Jakarta,A15,6.4,Resolved,5
100051,2026-01-02,App,Loyalty/Account,Corporate,Jakarta,A10,1.6,Resolved,5
100052,2026-01-03,App,Booking Change,Business,Bali,A12,7.5,Resolved,4
100053,2026-01-03,Email,Complaint,Business,Bali,A02,44.5,Resolved,1
100054,2026-01-03,Call Center,Booking Change,Corporate,Makassar,A11,4.3,Resolved,5
100055,2026-01-03,Email,Refund Request,Business,Surabaya,A11,46.8,Resolved,2
100056,2026-01-03,Call Center,Refund Request,Leisure,Bali,A04,23.4,Resolved,4
100057,2026-01-03,Email,Baggage Issue,First-time,Medan,A11,19.8,Resolved,2
100058,2026-01-03,WhatsApp,Booking Change,Leisure,Bali,A11,8.6,Resolved,5
100059,2026-01-03,Web,Complaint,Business,Bali,A13,24.7,Resolved,5
100060,2026-01-03,Email,Complaint,Leisure,Medan,A15,26.0,Resolved,5
100061,2026-01-03,Web,Cancellation,First-time,Medan,A03,9.8,Resolved,3
100062,2026-01-03,Web,Booking Change,First-time,Surabaya,A13,5.8,Resolved,4
100063,2026-01-03,Email,Booking Change,Business,Jakarta,A03,7.1,Resolved,4
100064,2026-01-03,WhatsApp,Loyalty/Account,First-time,Makassar,A07,1.7,Resolved,5
100065,2026-01-03,Call Center,Loyalty/Account,First-time,Medan,A13,4.0,Resolved,4
100066,2026-01-03,App,Baggage Issue,Corporate,Medan,A12,28.3,Resolved,5
100067,2026-01-03,Web,Refund Request,Leisure,Surabaya,A04,24.9,Resolved,5
100068,2026-01-03,App,Refund Request,First-time,Medan,A04,34.6,Resolved,5
100069,2026-01-03,Email,Cancellation,Leisure,Makassar,A08,13.7,Resolved,1
100070,2026-01-03,WhatsApp,Loyalty/Account,First-time,Makassar,A13,4.1,Resolved,5
100071,2026-01-03,App,Booking Change,First-time,Medan,A07,4.1,Resolved,5
100072,2026-01-03,WhatsApp,Flight Delay,Business,Makassar,A01,18.2,Resolved,3
100073,2026-01-03,Web,Baggage Issue,Leisure,Medan,A14,15.8,Resolved,5
100074,2026-01-03,Email,Refund Request,First-time,Bali,A05,30.9,Resolved,5
100075,2026-01-03,Web,Cancellation,Leisure,Bali,A11,19.1,Open,
100076,2026-01-03,App,Booking Change,Business,Surabaya,A10,8.5,Resolved,5
100077,2026-01-03,Call Center,Baggage Issue,Business,Medan,A13,11.3,Resolved,4
100078,2026-01-03,App,Cancellation,Business,Bali,A10,14.0,Open,
100079,2026-01-03,Web,Refund Request,First-time,Medan,A02,11.1,Resolved,4
100080,2026-01-03,App,Refund Request,Leisure,Makassar,A06,17.6,Resolved,4
100081,2026-01-03,Email,Booking Change,Corporate,Jakarta,A14,3.4,Resolved,3
100082,2026-01-03,Web,Flight Delay,Business,Medan,A12,12.3,Resolved,4
100083,2026-01-04,Email,Complaint,First-time,Medan,A14,23.1,Resolved,2
100084,2026-01-04,Email,Booking Change,First-time,Surabaya,A10,4.1,Resolved,5
100085,2026-01-04,Email,Booking Change,Corporate,Surabaya,A04,4.9,Resolved,4
100086,2026-01-04,Web,Loyalty/Account,Leisure,Makassar,A02,5.0,Resolved,4
100087,2026-01-04,Email,Flight Delay,Business,Medan,A08,12.6,Resolved,3
100088,2026-01-04,WhatsApp,Refund Request,Corporate,Medan,A09,24.9,Resolved,1
100089,2026-01-04,Call Center,Flight Delay,Corporate,Medan,A05,12.0,Resolved,5
100090,2026-01-04,Web,Flight Delay,Business,Surabaya,A12,14.4,Resolved,2
100091,2026-01-04,Web,Loyalty/Account,Corporate,Jakarta,A05,4.1,Open,
100092,2026-01-04,App,Flight Delay,Corporate,Jakarta,A09,15.0,Resolved,1
100093,2026-01-04,App,Baggage Issue,First-time,Jakarta,A10,16.2,Resolved,1
100094,2026-01-04,App,Refund Request,First-time,Jakarta,A07,43.4,Resolved,3
100095,2026-01-04,WhatsApp,Cancellation,Business,Surabaya,A05,12.6,Resolved,4
100096,2026-01-04,Email,Baggage Issue,Business,Makassar,A08,20.8,Resolved,5
100097,2026-01-04,WhatsApp,Baggage Issue,First-time,Bali,A10,35.0,Resolved,1
100098,2026-01-04,Web,Baggage Issue,Corporate,Jakarta,A04,24.8,Resolved,5
100099,2026-01-04,Email,Booking Change,First-time,Makassar,A05,7.9,Resolved,1
100100,2026-01-04,WhatsApp,Booking Change,Business,Bali,A11,6.4,Resolved,5
100101,2026-01-04,Call Center,Booking Change,Business,Surabaya,A14,6.5,Resolved,4
100102,2026-01-04,App,Complaint,Corporate,Medan,A08,26.6,Resolved,3
100103,2026-01-04,App,Loyalty/Account,First-time,Medan,A10,5.6,Resolved,5
100104,2026-01-04,WhatsApp,Booking Change,Leisure,Bali,A01,6.6,Resolved,5
100105,2026-01-04,Web,Flight Delay,First-time,Bali,A10,3.9,Resolved,5
100106,2026-01-04,Web,Flight Delay,Corporate,Jakarta,A06,15.5,Resolved,4
100107,2026-01-04,App,Baggage Issue,First-time,Makassar,A08,22.7,Resolved,2
100108,2026-01-04,Email,Complaint,Leisure,Makassar,A07,27.8,Open,
100109,2026-01-04,App,Flight Delay,First-time,Medan,A04,11.7,Resolved,2
100110,2026-01-04,Web,Flight Delay,Leisure,Makassar,A12,14.5,Resolved,4
100111,2026-01-04,App,Flight Delay,Leisure,Surabaya,A08,18.6,Resolved,1
100112,2026-01-04,Email,Refund Request,Corporate,Medan,A08,24.3,Resolved,4
100113,2026-01-04,Call Center,Refund Request,Business,Jakarta,A13,33.1,Resolved,4
100114,2026-01-04,WhatsApp,Complaint,Corporate,Bali,A10,14.4,Resolved,5
100115,2026-01-05,Call Center,Flight Delay,First-time,Bali,A09,12.4,Resolved,2
100116,2026-01-05,Email,Loyalty/Account,Business,Makassar,A04,2.4,Resolved,5
100117,2026-01-05,Email,Refund Request,First-time,Medan,A11,34.6,Resolved,1
100118,2026-01-05,Email,Booking Change,Corporate,Jakarta,A02,2.6,Resolved,5
100119,2026-01-05,App,Cancellation,First-time,Surabaya,A08,10.6,Resolved,5
100120,2026-01-05,Email,Booking Change,Corporate,Makassar,A06,4.2,Resolved,2
100121,2026-01-05,App,Flight Delay,Leisure,Makassar,A04,4.7,Resolved,4
100122,2026-01-05,Email,Flight Delay,Leisure,Jakarta,A03,4.1,Resolved,3
100123,2026-01-05,Call Center,Booking Change,Leisure,Bali,A06,4.4,Resolved,4
100124,2026-01-05,WhatsApp,Booking Change,Business,Jakarta,A14,6.8,Resolved,3
100125,2026-01-05,Email,Flight Delay,Business,Surabaya,A11,11.9,Open,
100126,2026-01-05,Web,Complaint,Corporate,Makassar,A02,31.4,Resolved,5
100127,2026-01-05,Email,Baggage Issue,First-time,Bali,A14,9.1,Resolved,5
100128,2026-01-05,Call Center,Refund Request,Corporate,Makassar,A12,73.6,Resolved,1
100129,2026-01-05,WhatsApp,Baggage Issue,Corporate,Jakarta,A14,13.3,Open,
100130,2026-01-05,Web,Baggage Issue,First-time,Bali,A10,7.1,Resolved,5
100131,2026-01-05,App,Booking Change,Corporate,Surabaya,A15,5.5,Resolved,5
100132,2026-01-05,Call Center,Refund Request,Business,Jakarta,A06,27.6,Resolved,5
100133,2026-01-05,WhatsApp,Booking Change,Corporate,Makassar,A15,5.8,Resolved,1
100134,2026-01-06,Email,Refund Request,Corporate,Jakarta,A02,37.1,Resolved,1
100135,2026-01-06,Call Center,Complaint,First-time,Makassar,A02,24.4,Resolved,5
100136,2026-01-06,Email,Baggage Issue,Corporate,Makassar,A14,16.8,Resolved,5
100137,2026-01-06,WhatsApp,Baggage Issue,First-time,Jakarta,A15,24.0,Resolved,3
100138,2026-01-06,Email,Baggage Issue,First-time,Bali,A02,15.8,Resolved,1
100139,2026-01-06,App,Refund Request,First-time,Jakarta,A04,34.9,Resolved,3
100140,2026-01-06,Web,Cancellation,First-time,Makassar,A15,8.6,Resolved,5
100141,2026-01-06,App,Flight Delay,First-time,Bali,A12,8.4,Resolved,3
100142,2026-01-06,Call Center,Booking Change,Corporate,Makassar,A01,7.9,Resolved,5
100143,2026-01-06,Web,Booking Change,First-time,Jakarta,A11,1.9,Open,
100144,2026-01-06,Web,Refund Request,Business,Makassar,A02,5.4,Resolved,5
100145,2026-01-06,Web,Baggage Issue,Business,Bali,A13,18.4,Resolved,5
100146,2026-01-06,App,Booking Change,Corporate,Surabaya,A11,5.9,Resolved,5
100147,2026-01-06,Call Center,Refund Request,Business,Makassar,A01,31.8,Resolved,4
100148,2026-01-06,Call Center,Cancellation,First-time,Medan,A09,11.2,Resolved,4
100149,2026-01-06,Call Center,Refund Request,Leisure,Makassar,A08,28.1,Resolved,2
100150,2026-01-06,Email,Flight Delay,Leisure,Medan,A02,11.1,Resolved,5
100151,2026-01-06,WhatsApp,Booking Change,Business,Bali,A11,2.7,Resolved,5
100152,2026-01-06,App,Refund Request,First-time,Jakarta,A14,20.3,Resolved,3
100153,2026-01-06,Email,Flight Delay,Business,Medan,A15,12.6,Resolved,5
100154,2026-01-06,Call Center,Booking Change,First-time,Bali,A06,8.2,Resolved,2
100155,2026-01-06,App,Flight Delay,Leisure,Jakarta,A07,18.5,Resolved,3
100156,2026-01-06,Email,Baggage Issue,Corporate,Jakarta,A06,24.7,Resolved,1
100157,2026-01-06,WhatsApp,Flight Delay,Leisure,Bali,A05,8.2,Resolved,4
100158,2026-01-06,WhatsApp,Refund Request,Leisure,Bali,A06,42.7,Resolved,5
100159,2026-01-06,WhatsApp,Refund Request,First-time,Makassar,A10,23.0,Resolved,4
100160,2026-01-06,Call Center,Cancellation,Leisure,Surabaya,A12,5.5,Resolved,3
100161,2026-01-06,WhatsApp,Refund Request,Business,Surabaya,A11,24.6,Resolved,5
100162,2026-01-06,Email,Cancellation,Business,Medan,A08,11.3,Resolved,5
100163,2026-01-07,Web,Refund Request,Leisure,Jakarta,A03,30.1,Resolved,5
100164,2026-01-07,Call Center,Flight Delay,First-time,Medan,A04,10.5,Resolved,5
100165,2026-01-07,Email,Flight Delay,Corporate,Makassar,A09,11.3,Resolved,4
100166,2026-01-07,Web,Booking Change,Corporate,Surabaya,A13,5.4,Resolved,5
100167,2026-01-07,Web,Booking Change,First-time,Surabaya,A07,4.3,Resolved,4
100168,2026-01-07,Email,Refund Request,First-time,Jakarta,A01,28.2,Resolved,5
100169,2026-01-07,Email,Refund Request,First-time,Makassar,A12,23.7,Resolved,1
100170,2026-01-07,App,Booking Change,First-time,Bali,A07,4.5,Resolved,5
100171,2026-01-07,Call Center,Baggage Issue,Leisure,Medan,A12,14.5,Resolved,5
100172,2026-01-07,Call Center,Booking Change,Business,Bali,A12,7.8,Resolved,3
100173,2026-01-07,Call Center,Booking Change,Leisure,Surabaya,A04,6.6,Resolved,5
100174,2026-01-07,WhatsApp,Loyalty/Account,First-time,Medan,A13,4.8,Resolved,3
100175,2026-01-07,Web,Loyalty/Account,Corporate,Bali,A08,5.6,Resolved,5
100176,2026-01-07,Email,Booking Change,Leisure,Bali,A08,7.1,Open,
100177,2026-01-07,App,Refund Request,Corporate,Jakarta,A10,20.2,Resolved,2
100178,2026-01-07,WhatsApp,Cancellation,Leisure,Medan,A11,7.8,Resolved,4
100179,2026-01-07,App,Flight Delay,Leisure,Medan,A13,15.5,Resolved,4
100180,2026-01-07,Email,Booking Change,Business,Medan,A09,4.7,Resolved,5
100181,2026-01-07,Email,Refund Request,Corporate,Medan,A13,21.5,Resolved,4
100182,2026-01-07,Email,Booking Change,Leisure,Makassar,A05,8.8,Resolved,1
100183,2026-01-07,App,Loyalty/Account,Business,Bali,A10,2.2,Resolved,4
100184,2026-01-07,App,Baggage Issue,Business,Makassar,A05,4.3,Resolved,5
100185,2026-01-07,App,Refund Request,Business,Makassar,A11,23.1,Open,
100186,2026-01-07,Email,Refund Request,Business,Bali,A04,17.4,Resolved,5
100187,2026-01-07,WhatsApp,Booking Change,Leisure,Makassar,A14,5.8,Resolved,2
100188,2026-01-07,Web,Baggage Issue,First-time,Surabaya,A03,9.2,Resolved,4
100189,2026-01-07,App,Complaint,Business,Medan,A07,13.9,Resolved,5
100190,2026-01-07,WhatsApp,Cancellation,First-time,Surabaya,A04,14.8,Resolved,1
100191,2026-01-08,WhatsApp,Loyalty/Account,Business,Bali,A08,2.7,Resolved,5
100192,2026-01-08,Web,Loyalty/Account,Business,Makassar,A14,4.3,Resolved,4
100193,2026-01-08,App,Complaint,Leisure,Makassar,A05,28.9,Resolved,4
100194,2026-01-08,Email,Complaint,Leisure,Surabaya,A15,26.9,Resolved,5
100195,2026-01-08,Email,Booking Change,Corporate,Surabaya,A02,5.6,Resolved,2
100196,2026-01-08,App,Baggage Issue,Business,Surabaya,A05,19.2,Resolved,4
100197,2026-01-08,WhatsApp,Complaint,First-time,Medan,A01,25.6,Resolved,5
100198,2026-01-08,Call Center,Loyalty/Account,First-time,Jakarta,A04,3.8,Resolved,5
100199,2026-01-08,App,Flight Delay,First-time,Jakarta,A14,17.4,Open,
100200,2026-01-08,Call Center,Flight Delay,Business,Surabaya,A07,8.4,Open,
100201,2026-01-08,App,Refund Request,First-time,Surabaya,A09,34.4,Resolved,4
100202,2026-01-08,Email,Loyalty/Account,Leisure,Medan,A01,3.9,Resolved,1
100203,2026-01-08,App,Refund Request,Leisure,Bali,A06,31.0,Resolved,4
100204,2026-01-08,Call Center,Cancellation,Business,Jakarta,A09,15.8,Resolved,2
100205,2026-01-08,Web,Complaint,First-time,Medan,A13,34.1,Resolved,5
100206,2026-01-08,Call Center,Booking Change,Business,Jakarta,A15,8.9,Resolved,4
100207,2026-01-08,App,Complaint,First-time,Bali,A13,19.2,Resolved,5
100208,2026-01-08,Call Center,Baggage Issue,Corporate,Jakarta,A07,13.3,Resolved,4
100209,2026-01-08,Web,Loyalty/Account,First-time,Bali,A08,3.5,Resolved,5
100210,2026-01-08,Email,Booking Change,First-time,Jakarta,A10,3.9,Resolved,5
100211,2026-01-08,Call Center,Refund Request,Leisure,Jakarta,A11,26.3,Resolved,5
100212,2026-01-08,Call Center,Flight Delay,First-time,Jakarta,A10,17.0,Resolved,5
100213,2026-01-08,Email,Loyalty/Account,Leisure,Jakarta,A06,1.3,Resolved,5
100214,2026-01-08,Web,Complaint,First-time,Jakarta,A02,22.7,Resolved,4
100215,2026-01-09,Web,Refund Request,Leisure,Makassar,A11,19.0,Resolved,5
100216,2026-01-09,Call Center,Booking Change,Corporate,Medan,A11,6.7,Resolved,1
100217,2026-01-09,WhatsApp,Booking Change,Business,Medan,A07,7.0,Resolved,3
100218,2026-01-09,Web,Booking Change,Corporate,Medan,A02,5.4,Resolved,5
100219,2026-01-09,Call Center,Booking Change,First-time,Jakarta,A11,5.5,Resolved,2
100220,2026-01-09,WhatsApp,Complaint,Business,Bali,A04,26.9,Resolved,5
100221,2026-01-09,Call Center,Booking Change,First-time,Jakarta,A09,3.6,Resolved,5
100222,2026-01-09,Email,Loyalty/Account,Leisure,Bali,A12,3.2,Resolved,5
100223,2026-01-09,Call Center,Cancellation,Leisure,Surabaya,A11,14.0,Resolved,5
100224,2026-01-09,Email,Complaint,Business,Surabaya,A09,28.8,Resolved,5
100225,2026-01-09,Web,Booking Change,Business,Bali,A03,4.3,Resolved,2
100226,2026-01-09,Web,Loyalty/Account,Leisure,Bali,A11,6.3,Resolved,5
100227,2026-01-09,Web,Baggage Issue,Leisure,Makassar,A10,21.9,Resolved,2
100228,2026-01-09,App,Baggage Issue,Leisure,Jakarta,A01,16.5,Resolved,3
100229,2026-01-09,Email,Refund Request,Business,Makassar,A10,21.0,Resolved,5
100230,2026-01-09,Email,Loyalty/Account,First-time,Surabaya,A05,2.6,Resolved,4
100231,2026-01-09,Email,Booking Change,First-time,Medan,A04,5.3,Resolved,5
100232,2026-01-09,Web,Loyalty/Account,Corporate,Medan,A13,4.8,Resolved,4
100233,2026-01-09,Call Center,Refund Request,First-time,Jakarta,A08,30.1,Resolved,5
100234,2026-01-09,Call Center,Baggage Issue,Business,Surabaya,A15,21.2,Resolved,5
100235,2026-01-09,Email,Cancellation,First-time,Makassar,A08,13.4,Resolved,4
100236,2026-01-09,WhatsApp,Flight Delay,Business,Surabaya,A06,8.1,Open,
100237,2026-01-09,WhatsApp,Refund Request,First-time,Bali,A01,37.3,Resolved,2
100238,2026-01-09,Email,Cancellation,Corporate,Jakarta,A01,6.5,Resolved,5
100239,2026-01-09,WhatsApp,Flight Delay,Leisure,Medan,A08,12.4,Resolved,3
100240,2026-01-09,Call Center,Booking Change,Leisure,Medan,A13,4.1,Resolved,5
100241,2026-01-09,WhatsApp,Refund Request,Business,Surabaya,A09,27.2,Open,
100242,2026-01-09,Email,Cancellation,First-time,Makassar,A03,10.7,Resolved,4
100243,2026-01-10,Email,Loyalty/Account,Corporate,Surabaya,A10,3.9,Resolved,2
100244,2026-01-10,App,Flight Delay,Corporate,Medan,A06,8.0,Resolved,5
100245,2026-01-10,WhatsApp,Flight Delay,Corporate,Jakarta,A08,11.3,Resolved,4
100246,2026-01-10,Email,Refund Request,Leisure,Makassar,A03,47.4,Resolved,1
100247,2026-01-10,Web,Cancellation,First-time,Surabaya,A01,4.4,Resolved,5
100248,2026-01-10,Email,Flight Delay,First-time,Surabaya,A09,8.7,Resolved,2
100249,2026-01-10,WhatsApp,Complaint,Leisure,Surabaya,A04,0.5,Resolved,5
100250,2026-01-10,Call Center,Loyalty/Account,First-time,Makassar,A09,1.9,Resolved,4
100251,2026-01-10,Email,Cancellation,Corporate,Makassar,A04,13.1,Resolved,1
100252,2026-01-10,Email,Loyalty/Account,Corporate,Surabaya,A06,3.7,Resolved,4
100253,2026-01-10,App,Loyalty/Account,Corporate,Bali,A10,3.3,Resolved,3
100254,2026-01-10,App,Loyalty/Account,Business,Bali,A05,2.6,Resolved,5
100255,2026-01-10,Web,Loyalty/Account,Corporate,Medan,A04,4.6,Resolved,5
100256,2026-01-10,App,Booking Change,Business,Surabaya,A11,4.3,Resolved,5
100257,2026-01-10,Call Center,Refund Request,Leisure,Medan,A12,12.1,Resolved,3
100258,2026-01-10,Email,Loyalty/Account,Business,Medan,A08,4.4,Resolved,2
100259,2026-01-10,App,Refund Request,Corporate,Jakarta,A11,16.7,Resolved,2
100260,2026-01-10,Web,Loyalty/Account,Business,Medan,A15,3.1,Resolved,1
100261,2026-01-10,Call Center,Refund Request,First-time,Surabaya,A15,39.8,Resolved,1
100262,2026-01-10,WhatsApp,Refund Request,First-time,Makassar,A08,32.4,Resolved,5
100263,2026-01-10,App,Flight Delay,Corporate,Surabaya,A06,14.8,Resolved,5
100264,2026-01-10,Web,Cancellation,Corporate,Makassar,A03,13.8,Resolved,3
100265,2026-01-10,Call Center,Flight Delay,First-time,Makassar,A02,10.3,Resolved,5
100266,2026-01-10,Email,Loyalty/Account,Leisure,Bali,A04,4.4,Resolved,5
100267,2026-01-10,Call Center,Refund Request,Leisure,Bali,A12,31.5,Resolved,5
100268,2026-01-10,Call Center,Cancellation,Corporate,Jakarta,A06,15.9,Resolved,5
100269,2026-01-10,WhatsApp,Booking Change,Business,Medan,A06,3.4,Resolved,5
100270,2026-01-10,WhatsApp,Baggage Issue,Business,Surabaya,A14,22.6,Resolved,4
100271,2026-01-11,App,Cancellation,Leisure,Makassar,A01,14.1,Resolved,3
100272,2026-01-11,Web,Booking Change,First-time,Jakarta,A12,1.4,Resolved,5
100273,2026-01-11,Web,Flight Delay,Leisure,Medan,A09,6.7,Resolved,4
100274,2026-01-11,Call Center,Refund Request,Leisure,Medan,A14,37.8,Open,
100275,2026-01-11,Email,Booking Change,Leisure,Jakarta,A06,5.1,Resolved,2
100276,2026-01-11,Call Center,Loyalty/Account,First-time,Jakarta,A07,2.1,Resolved,5
100277,2026-01-11,Email,Baggage Issue,First-time,Bali,A08,28.7,Resolved,2
100278,2026-01-11,App,Baggage Issue,Business,Bali,A03,6.5,Resolved,5
100279,2026-01-11,App,Booking Change,Business,Jakarta,A05,2.3,Resolved,5
100280,2026-01-11,Web,Refund Request,First-time,Bali,A05,34.4,Resolved,1
100281,2026-01-11,WhatsApp,Cancellation,Leisure,Medan,A13,17.7,Resolved,5
100282,2026-01-11,App,Baggage Issue,First-time,Makassar,A04,12.1,Resolved,5
100283,2026-01-11,Web,Refund Request,Business,Jakarta,A09,38.8,Resolved,3
100284,2026-01-11,Call Center,Baggage Issue,Corporate,Surabaya,A15,17.8,Resolved,4
100285,2026-01-11,App,Refund Request,Corporate,Bali,A09,53.4,Resolved,2
100286,2026-01-11,Call Center,Flight Delay,First-time,Jakarta,A11,8.9,Resolved,3
100287,2026-01-11,Web,Refund Request,First-time,Medan,A05,15.7,Resolved,3
100288,2026-01-11,App,Refund Request,Business,Medan,A09,44.1,Resolved,4
100289,2026-01-11,Call Center,Flight Delay,First-time,Surabaya,A04,11.1,Resolved,5
100290,2026-01-11,Call Center,Flight Delay,Business,Jakarta,A07,13.7,Resolved,4
100291,2026-01-11,WhatsApp,Complaint,Business,Makassar,A04,4.8,Resolved,3
100292,2026-01-11,Email,Booking Change,Business,Jakarta,A15,6.6,Resolved,4
100293,2026-01-11,Call Center,Booking Change,Business,Makassar,A13,5.4,Resolved,5
100294,2026-01-11,App,Refund Request,First-time,Medan,A13,43.2,Resolved,4
100295,2026-01-11,Call Center,Complaint,Business,Bali,A07,42.4,Resolved,5
100296,2026-01-11,Web,Flight Delay,First-time,Bali,A04,14.7,Resolved,5
100297,2026-01-11,Call Center,Complaint,First-time,Makassar,A05,24.9,Resolved,3
100298,2026-01-11,Web,Flight Delay,Corporate,Surabaya,A12,6.5,Resolved,5
100299,2026-01-11,App,Loyalty/Account,Leisure,Makassar,A14,6.2,Resolved,1
100300,2026-01-11,Web,Flight Delay,Business,Jakarta,A01,2.5,Resolved,5
100301,2026-01-11,App,Booking Change,First-time,Medan,A01,3.6,Open,
100302,2026-01-12,WhatsApp,Refund Request,Corporate,Jakarta,A14,27.5,Resolved,5
100303,2026-01-12,App,Loyalty/Account,Business,Jakarta,A09,4.6,Resolved,2
100304,2026-01-12,Call Center,Refund Request,First-time,Jakarta,A07,36.3,Resolved,5
100305,2026-01-12,App,Cancellation,Corporate,Jakarta,A02,6.8,Resolved,4
100306,2026-01-12,Email,Cancellation,Leisure,Medan,A11,12.2,Resolved,4
100307,2026-01-12,App,Complaint,Leisure,Makassar,A04,28.6,Resolved,4
100308,2026-01-12,WhatsApp,Booking Change,Leisure,Bali,A10,10.7,Resolved,5
100309,2026-01-12,WhatsApp,Complaint,Leisure,Surabaya,A03,24.2,Resolved,5
100310,2026-01-12,Email,Booking Change,Business,Makassar,A11,2.2,Resolved,5
100311,2026-01-12,WhatsApp,Cancellation,Business,Jakarta,A12,11.3,Resolved,2
100312,2026-01-12,App,Refund Request,First-time,Bali,A11,29.4,Resolved,1
100313,2026-01-12,Email,Flight Delay,Corporate,Makassar,A07,14.5,Resolved,2
100314,2026-01-12,App,Refund Request,Business,Jakarta,A05,44.7,Resolved,2
100315,2026-01-12,Call Center,Baggage Issue,First-time,Bali,A02,32.5,Resolved,1
100316,2026-01-12,Email,Booking Change,Leisure,Surabaya,A08,9.1,Resolved,3
100317,2026-01-12,WhatsApp,Booking Change,Leisure,Bali,A02,2.6,Resolved,5
100318,2026-01-12,Web,Flight Delay,Leisure,Makassar,A10,7.2,Resolved,4
100319,2026-01-12,Call Center,Booking Change,Corporate,Bali,A08,6.9,Resolved,5
